word,meaning
nineteen,num. 十九
marriage,n. 结婚
Tuesday,n. 星期二
cancel,v. 取消 n. 取消，撤销
grandparent,n. 祖父母
America,n. 美洲（包括北美和南美洲）
giraffe,n. 长颈鹿
monitor,n. 监视器 v. 监控
dialogue,n. 对话 vi. 对话 vt. 用对话表达
geography,n. 地理
advise,v. 建议
festival,n. 节日 adj. 节日的，喜庆的
rabbit,n. 兔子，野兔 v. 让…见鬼去吧
theirs,pron. 他们的
purse,n. (女士)手提袋 v. （嘴巴）皱起，使缩拢
express,v. 表达 adj. 明确的 n. 快车，快递，专使
blackboard,n. 黑板
servant,n. 仆人，佣人
hobby,n. 嗜好
discover,v. 发现
coke,n. 焦炭 v. 焦化
stupid,adj. 愚蠢的 n. 傻瓜，笨蛋
conversation,n. 交谈，会话
asleep,adj. 睡着的 adv. 熟睡地
cotton,n. 棉花 v. 一致 adj. 棉的
stomach,n. 胃 v. 忍受
common,adj. 共同的 n. 普通
hometown,n. 家乡
snowy,adj. 下雪的，多雪的
collect,v. 收集 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名
concert,n. 音乐会 v. 使协调 adj. 音乐会用的
centre,v. 以…为中心 n. 中心 adj. 中央的
driver,n. 驾驶员
height,n. 高地
retell,v. 复述
Europe,n. 欧洲
holiday,n. 假日 v. 外出度假
Rusia,鲁西亚（地名）
smooth,adj. 顺利的 v. 使光滑 n. 平滑部分 adv. 光滑地
airplane,n. 飞机
seventeen,n. 十七，十七个 adj. 十七岁的 num. 十七
Wednesday,n. 星期三
wheat,n. 小麦
forty,n. 四十 adj. 四十的
tourist,n. 旅行者，观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游 adv. 坐旅游车厢
rubbish,n. 垃圾，废物 adj. 毫无价值的
queen,n. 女王，王后 v. 使…成为女王或王后
math,n. 数学（等于mathematics）
kitchen,n. 厨房
kilo,n. 千克
vegetable,n. 蔬菜 adj. 蔬菜的
examine,v. 检查
pleasure,n. 快乐 vt. 使高兴 vi. 高兴
pioneer,n. 先锋 v. 开辟
information,n. 信息，资料
compare,n. 比较 v. 比拟，喻为
Friday,n. 星期五
visitor,n. 访问者，参观者
August,adj. 威严的 n. 八月（简写为Aug）
connect,v. 连接
foreign,adj. 外国的
prisoner,n. 囚犯，犯人
English,adj. 英国人的 n. 英语 vt. 把…译成英语
countryside,n. 农村，乡下
VCD,abbr. 视频高密光盘（Video Compact Disc）
sandwich,v. 夹入 n. 三明治
England,n. 英格兰
postcard,n. 明信片
eighth,adj. 第八的 num. 第八
windy,adj. 多风的，有风的
overcoat,n. 大衣，外套
sudden,adj. 突然的，意外的 n. 突然发生的事
engineer,n. 工程师 v. 设计
keyboard,n. 键盘 v. 键入
drawer,n. 抽屉
passenger,n. 旅客
tongue,n. 舌头 v. 舔
basketball,n. 篮球
Chinese,n. 中文，汉语 adj. 中国的，中国人的
schoolbag,n. 书包
umbrella,n. 雨伞
volleyball,n. 排球
invention,n. 发明
purple,adj. 紫色的 n. 紫色 v. 变成紫色
everywhere,adv. 到处 n. 每个地方
ninety,n. 九十 adj. 九十的 num. 九十
composition,n. 作文，作曲，作品
polite,adj. 有礼貌的，客气的
dismiss,v. 解散
crayon,n. 蜡笔，有色粉笔 v. 以蜡笔作画，用颜色粉笔画
wonderful,adj. 极好的，精彩的，绝妙的
stream,n. 溪流 v. 流
behaviour,n. 行为
disturb,v. 打扰
Russian,adj. 俄国的 n. 俄语
strict,adj. 严格的
communication,n. 通讯，[通信] 通信
toothpaste,n. 牙膏
succeed,v. 成功
restaurant,n. 餐馆
electric,adj. 电的 n. 电
planet,n. 行星
weather,n. 天气 v. 经受住 adj. 露天的
fetch,v. 取来 n. 取得
environment,n. 环境，外界
